"Channel","Mixture"
"126","Mixture3"
"127N","Mixture3"
"127C","Mixture3"
"128N","Mixture3"
"128C","Mixture3"
"129N","Mixture3"
"129C","Mixture3"
"130N","Mixture3"
"130C","Mixture3"
"131","Mixture3"
"126","Mixture4"
"127N","Mixture4"
"127C","Mixture4"
"128N","Mixture4"
"128C","Mixture4"
"129N","Mixture4"
"129C","Mixture4"
"130N","Mixture4"
"130C","Mixture4"
"131","Mixture4"
"126","Mixture1"
"127N","Mixture1"
"127C","Mixture1"
"128N","Mixture1"
"128C","Mixture1"
"129N","Mixture1"
"129C","Mixture1"
"130N","Mixture1"
"130C","Mixture1"
"131","Mixture1"
"126","Mixture5"
"127N","Mixture5"
"127C","Mixture5"
"128N","Mixture5"
"128C","Mixture5"
"129N","Mixture5"
"129C","Mixture5"
"130N","Mixture5"
"130C","Mixture5"
"131","Mixture5"
"126","Mixture2"
"127N","Mixture2"
"127C","Mixture2"
"128N","Mixture2"
"128C","Mixture2"
"129N","Mixture2"
"129C","Mixture2"
"130N","Mixture2"
"130C","Mixture2"
"131","Mixture2"
