"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","NP_001007697","Diseased-Healthy",-0.833664750218745,0.158775121171135,-5.25060062350815,28,1.39822179570093e-05,4.19466538710278e-05,NA,0,0
"2","NP_001008724","Diseased-Healthy",0.253626226867563,0.137432947696096,1.84545431877373,28,0.0755716247648808,0.0884740972857141,NA,0.00170068027210879,0
"3","NP_001010968","Diseased-Healthy",-0.236458243651144,0.137705005941972,-1.71713614936255,28,0.0969979327435126,0.1108547802783,NA,0.201587301587302,0
"4","NP_001011908","Diseased-Healthy",-0.580538040980547,0.207193883993494,-2.80190722713985,28,0.00911317018620061,0.0132555202708373,NA,0.0610766045548654,0
"5","NP_001012027","Diseased-Healthy",0.426409126378149,0.156733986444702,2.72059134110387,28,0.0110730157291989,0.0151858501429014,NA,0,0
"6","NP_001013967","Diseased-Healthy",-0.384144617999474,0.181218285730558,-2.11978949282543,28,0.0430208599579378,0.0543421388942372,NA,0,0
"7","NP_001033064","Diseased-Healthy",-0.94949297737395,0.295638343336141,-3.21167060625277,28,0.00330597607186833,0.00528956171498933,NA,0,0
"8","NP_001101333","Diseased-Healthy",-0.587778264391624,0.157480489209537,-3.73238784907221,28,0.000857015997552946,0.00167043558792242,NA,0,0
"9","NP_001121161","Diseased-Healthy",-0.239847705812387,0.17833590698747,-1.34492099692094,28,0.189444105760539,0.206666297193316,NA,0.0462962962962963,0
"10","NP_036620","Diseased-Healthy",1.16391083835018,0.114580086136985,10.1580551873445,28,6.8006711373414e-11,1.08810738197462e-09,NA,0.00132275132275128,0
"11","NP_036629","Diseased-Healthy",0.492927082974568,0.229251446297986,2.15015909794458,25,0.0414075117287434,0.0537178530535049,NA,0.170634920634921,0
"12","NP_036664","Diseased-Healthy",1.3668555776147,0.16968470863116,8.05526666864129,28,9.01890739868350e-09,6.18439364481154e-08,NA,0.00931677018633537,0
"13","NP_036691","Diseased-Healthy",0.555482349212337,0.0648487342306569,8.56581636946949,28,2.60972399246384e-09,2.08777919397107e-08,NA,0,0
"14","NP_036714","Diseased-Healthy",-5.2437402455539,0.281296218937581,-18.6413463549521,28,0,0,NA,0,0
"15","NP_036745","Diseased-Healthy",1.10852745961444,0.282132190037677,3.92910663425683,28,0.000508016794270594,0.00113735086968412,NA,0.0119047619047619,0
"16","NP_036774","Diseased-Healthy",-1.13696237456189,0.415810553223124,-2.73432784653686,28,0.0107163520864999,0.0151289676515293,NA,0,0
